name,ele,latitude,longitude,distance_to_straubing
Garbuckel,323,48.9235396,12.6035176,5.2
Bogenberg,432,48.9020427,12.6969849,9.3
Teufelsfelsen,410,48.9691622,12.6820345,12.6
Kühberg,525,48.9995899,12.5972608,13.2
Steinberg,,49.0139967,12.6004989,14.8
Kobelberg,698,49.0106589,12.5179149,14.9
Kirnhöhe,468,48.9800149,12.7122376,14.9
Schwarzer Dachsberg,481,48.9873931,12.7032577,15.1
Spangelberg,632,49.0162402,12.5500206,15.1
Kobelberg,703,49.0139059,12.519463,15.2
Buchaberg,593,48.9578661,12.7586805,16.0
Büscherl,740,49.02673,12.5536376,16.2
Schützberg,477,49.0106303,12.6761641,16.2
Hohenried,679,49.0345779,12.5811028,17.0
Pilgramsberg,619,49.0355836,12.611746,17.3
Eichhänge,655,49.0373536,12.5883221,17.3
Hirschbuckel,510,49.0059544,12.4283247,17.4
Kirchenberg,624,49.0380994,12.6088865,17.6
Schloßberg,380,48.9999996,12.4030169,18.1
Gschwellberg,443,49.010578,12.4164764,18.3
Herrnberg,399,49.0036671,12.401892,18.4
Ochsenberg,687,49.048148,12.5903096,18.6
Jägerbuckel,407,49.0115778,12.4104729,18.7
Neundelberg,652,49.0480666,12.6064745,18.7
Urberberg,614,48.979133,12.7852738,18.9
Loider Höhe,724,49.0129421,12.7391646,19.0
Lerchenhaube,446,49.0049702,12.3925833,19.0
Viechtberg,696,49.0520746,12.5630933,19.0
Oberer Berg,688,49.0527503,12.5988915,19.1
Winterberg,728,49.0157295,12.7366707,19.1
Sauberg,443,49.0138802,12.4006272,19.4
Degenberg,,48.9329853,12.8292497,19.6
Riesberg,602,49.0601119,12.608616,20.0
Gallner Berg,709,49.0485375,12.6775127,20.1
Kühleite,704,49.0480486,12.6840361,20.2
Blumerberg,684,49.0479125,12.695228,20.5
Heizerberg,659,49.0692462,12.574033,20.9
Hungerberg,615,49.0581381,12.6800738,21.1
Knogler Berg,721,48.9316446,12.8546924,21.3
Schopf,928,48.9547041,12.8429102,21.3
Höhenberg,690,48.9261333,12.8570831,21.3
Sommerberg,814,49.0364331,12.7473026,21.4
Geigenbühl,356,48.8678731,12.8679514,21.6
Kühberg,392,48.9031935,12.8664601,21.6
Oberer Berg,811,48.9640752,12.8473306,22.0
Egidi-Buckel,,49.0090297,12.8074193,22.2
Kapellenberg,880.5,49.0033459,12.8159007,22.3
Klingerberg,637,49.0818338,12.5509557,22.3
Rettenbacher Leiten,740,48.9764795,12.8454934,22.5
Steinriegel,654,49.0924071,12.5723909,23.4
Dachsberg,812,48.9820935,12.8547281,23.4
Pröller,1048,49.0219662,12.8211454,23.9
Himmelberg,360,48.8581505,12.9000628,24.1
Hohes Buchet,569,48.9132501,12.8986333,24.1
Predigtstuhl,1024,49.0023398,12.8488065,24.2
Hirschenstein,1095,48.9643769,12.8800093,24.2
Knogl,1056,48.995904,12.8571683,24.3
Käsplatte,978,49.0381908,12.8071797,24.4
Hochberg,1025,49.0004257,12.8556089,24.5
Hanichelriegel,978,49.0386264,12.8126073,24.7
Klausenstein,1048,48.9503368,12.8961756,24.8
Rauher Kulm,1050,48.9485091,12.8988447,24.9
Burgstein,830,48.9337549,12.9053977,25.0
1032,,48.9899193,12.8730489,25.0
Riedberg,999,48.9442217,12.9019779,25.0
Bernhardsnagel,896,49.0538336,12.7974831,25.2
Kälberbuckel,1053,48.9756706,12.8878642,25.3
Kühberg,942,48.9763229,12.8960287,25.8
Lauberberg,594,49.1056378,12.4727699,26.0
Sollenberg,774,48.9688647,12.9043114,26.1
Semmelberg,,49.1064846,12.4550015,26.4
Schusterstein,998,48.989223,12.8951903,26.4
Kastenstein,822,49.0493887,12.8309023,26.5
Schweinsberg,609,49.1140618,12.4923957,26.5
Farrenbühl,646,48.9590949,12.9206729,26.8
Rabenstein,614.1,48.8850233,12.9445751,27.2
Kühberg,650.9,48.893406,12.9465999,27.3
Hinterberg,666.1,48.8891166,12.9462408,27.3
Hofberg,688,49.0645424,12.8225489,27.3
Altweiherhöhe,601,49.0587289,12.3129608,27.4
Geißberg,909,48.9924326,12.9081953,27.4
Butzen,775,48.906167,12.9476403,27.5
Tannenberg,431,48.8711511,12.9491365,27.5
Vogelsang,1022,48.9344318,12.9435935,27.7
Lindenauer Berg,690,48.960856,12.9323137,27.7
Fundberg,616,49.1301558,12.6167824,27.8
Hochriedriegel,934,48.9450348,12.9419822,27.9
Fuchsberg,684,48.9081538,12.9539771,28.0
Scheuchenberg,540,49.0264545,12.2560197,28.2
Förchenbichel,748,49.0737042,12.8320742,28.5
Kirchberg,675,48.975182,12.9357469,28.5
Eisberg,717,48.9631876,12.9422271,28.5
Längseigenberg,642,49.1361771,12.6250954,28.5
Wilde Leite,510,49.1344883,12.6434645,28.6
Einfaltsberg,461,49.1349284,12.6508672,28.7
Gsteinachhöhe,786,49.0709112,12.8419805,28.8
Weissenstein,681,49.1312066,12.6834855,28.9
Uhrberg,566,49.1390665,12.6337998,29.0
Achslacher Berg,696,48.9674983,12.9475379,29.0
Köpfelsberg,671,49.1325322,12.6861947,29.1
Geißberg,388,48.8394916,12.9676309,29.2
Hochgartenberg,675,48.9578128,12.9563302,29.3
Hocheiche,463,48.8551274,12.9744356,29.5
Kühberg,508,48.8585465,12.9756759,29.6
Hadriwa,677,49.1220595,12.4001082,29.6
Distelberg,641,49.0718398,12.8567351,29.6
Bauenberg,532,49.1471722,12.617314,29.7
Tratthöhe,557,49.1469527,12.6248731,29.7
Reisberg,449,49.1480507,12.6028452,29.7
Hohenstein,557,49.1504379,12.5737735,29.9
Geiersberg,368,48.8274892,12.9730118,29.9
Zinzenberg,532,49.1413128,12.4633449,30.0
Mühlberg,475,49.139868,12.4506166,30.1
Tränkberg,521,49.1456086,12.6675327,30.1
Schanzenberg,472,49.1485229,12.6538813,30.2
Koppenberg,553,49.1529269,12.572204,30.2
Hoher Fels,652,49.1203874,12.3761635,30.2
Haiberberg,584,49.1527182,12.5245238,30.3
Hohenruck,516,49.1406156,12.4389028,30.4
Sollerberg,716,48.901388,12.988522,30.4
Rauchenberg,599,49.1527669,12.629227,30.4
